,"A","B","C","D","E","F","G","H","I","J","K"
92,Francis Strickland7,VP Sales7,Permanent7,97,25,46,28,19,46,36,50
93,Morris Hanson7,Sales Manager7,Permanent7,95,86,26,29,9,45,76,50
94,Todd Tyler7,Sales Executive7,Permanent7,34,15,81,14,3,9,29,50
95,Bennie Wise7,Sales Executive7,Permanent7,63,61,65,33,56,79,92,50
96,Joel Cooper7,Sales Executive7,Permanent7,77,21,26,97,65,33,93,50
97,Erica Rogers8,CEO8,Permanent8,70,60,66,43,26,45,37,50
98,Malcolm Barrett8,Exec. Vice Presiden8,Permanent8,30,60,94,2,43,18,96,50
99,Esther Baker8,Director of Operations8,Permanent8,82,70,84,72,64,1,15,50
100,Brittany Hanson8,Fleet Coordinator8,Permanent8,48,48,3,57,42,57,89,50
101,Leah Flowers8,Parts Technician8,Permanent8,55,47,82,35,39,93,1,50
102,Tammy Sutton8,Service Technician8,Permanent8,39,87,43,99,10,69,63,50
103,Derek Paul8,Inventory Control8,Permanent8,3,76,47,41,71,64,34,50
104,Francis Strickland8,VP Sales8,Permanent8,65,53,34,52,91,3,36,50
105,Morris Hanson8,Sales Manager8,Permanent8,39,24,72,60,15,7,94,50
106,Todd Tyler8,Sales Executive8,Permanent8,2,53,23,32,94,67,73,50
107,Bennie Wise8,Sales Executive8,Permanent8,91,69,47,24,32,44,87,50
108,Joel Cooper8,Sales Executive8,Permanent8,31,34,17,20,50,18,76,50
109,Erica Rogers9,CEO9,Permanent9,58,76,30,83,50,5,38,50
110,Malcolm Barrett9,Exec. Vice Presiden9,Permanent9,7,25,1,93,73,12,7,50
111,Esther Baker9,Director of Operations9,Permanent9,93,36,42,87,57,74,15,50
112,Brittany Hanson9,Fleet Coordinator9,Permanent9,88,82,50,55,55,1,60,50
113,Leah Flowers9,Parts Technician9,Permanent9,36,9,49,60,12,73,50,50
114,Tammy Sutton9,Service Technician9,Permanent9,47,40,97,76,55,80,79,50
115,Derek Paul9,Inventory Control9,Permanent9,41,4,16,98,98,75,2,50
116,Francis Strickland9,VP Sales9,Permanent9,66,32,9,95,84,95,16,50
117,Morris Hanson9,Sales Manager9,Permanent9,99,9,3,85,46,25,50,50
118,Todd Tyler9,Sales Executive9,Permanent9,88,34,53,96,20,31,40,50
119,Bennie Wise9,Sales Executive9,Permanent9,0,20,66,25,89,50,64,50
120,Joel Cooper9,Sales Executive9,Permanent9,58,65,83,51,83,19,37,50
121,Erica Rogers10,CEO10,Permanent10,57,31,50,2,82,55,70,50
122,Malcolm Barrett10,Exec. Vice Presiden10,Permanent10,68,66,25,30,98,65,97,50
123,Esther Baker10,Director of Operations10,Permanent10,76,77,86,63,34,77,81,50
124,Brittany Hanson10,Fleet Coordinator10,Permanent10,93,22,24,34,16,96,81,50
125,Leah Flowers10,Parts Technician10,Permanent10,92,35,12,4,10,31,9,50
126,Tammy Sutton10,Service Technician10,Permanent10,99,18,5,87,2,62,40,50
127,Derek Paul10,Inventory Control10,Permanent10,91,35,31,15,66,72,24,50
128,Francis Strickland10,VP Sales10,Permanent10,39,98,34,74,46,9,16,50
129,Morris Hanson10,Sales Manager10,Permanent10,63,36,32,3,92,49,0,50
130,Todd Tyler10,Sales Executive10,Permanent10,9,23,40,12,42,15,31,50
131,Bennie Wise10,Sales Executive10,Permanent10,10,8,74,96,23,90,71,50
132,Joel Cooper10,Sales Executive10,Permanent10,14,2,19,19,11,9,19,50
133,Erica Rogers11,CEO11,Permanent11,36,33,84,0,6,27,79,50
134,Malcolm Barrett11,Exec. Vice Presiden11,Permanent11,26,65,57,88,23,57,21,50
135,Esther Baker11,Director of Operations11,Permanent11,35,57,7,19,51,23,21,50
136,Brittany Hanson11,Fleet Coordinator11,Permanent11,40,25,55,76,67,97,80,50
137,Leah Flowers11,Parts Technician11,Permanent11,55,50,46,31,32,3,13,50
138,Tammy Sutton11,Service Technician11,Permanent11,0,83,3,86,22,63,60,50
139,Derek Paul11,Inventory Control11,Permanent11,98,46,36,67,93,78,44,50
140,Francis Strickland11,VP Sales11,Permanent11,54,82,2,80,75,31,35,50
141,Morris Hanson11,Sales Manager11,Permanent11,54,44,37,96,13,91,65,50
142,Todd Tyler11,Sales Executive11,Permanent11,27,96,48,31,20,27,10,50
143,Bennie Wise11,Sales Executive11,Permanent11,67,24,28,59,40,96,79,50
144,Joel Cooper11,Sales Executive11,Permanent11,96,4,82,6,34,86,8,50
145,Erica Rogers12,CEO12,Permanent12,29,81,73,33,10,43,23,50
146,Malcolm Barrett12,Exec. Vice Presiden12,Permanent12,22,25,47,35,99,52,88,50
147,Esther Baker12,Director of Operations12,Permanent12,99,35,93,23,13,26,34,50
148,Brittany Hanson12,Fleet Coordinator12,Permanent12,33,66,80,30,13,26,0,50
149,Leah Flowers12,Parts Technician12,Permanent12,93,34,42,4,98,6,22,50
150,Tammy Sutton12,Service Technician12,Permanent12,80,63,26,89,53,84,28,50
151,Derek Paul12,Inventory Control12,Permanent12,26,36,91,71,95,70,94,50
152,Francis Strickland12,VP Sales12,Permanent12,55,80,93,10,46,92,37,50
153,Morris Hanson12,Sales Manager12,Permanent12,37,19,90,48,64,33,19,50
154,Todd Tyler12,Sales Executive12,Permanent12,59,32,92,15,96,80,33,50
155,Bennie Wise12,Sales Executive12,Permanent12,55,8,41,76,84,23,41,50
156,Joel Cooper12,Sales Executive12,Permanent12,88,19,74,64,92,61,48,50
157,Erica Rogers13,CEO13,Permanent13,32,20,62,94,49,51,60,50
158,Malcolm Barrett13,Exec. Vice Presiden13,Permanent13,17,52,48,78,81,61,63,50
159,Esther Baker13,Director of Operations13,Permanent13,46,61,56,20,72,44,21,50
160,Brittany Hanson13,Fleet Coordinator13,Permanent13,85,52,46,63,80,46,93,50
161,Leah Flowers13,Parts Technician13,Permanent13,36,21,99,19,79,80,80,50
162,Tammy Sutton13,Service Technician13,Permanent13,75,84,88,59,27,51,28,50
163,Derek Paul13,Inventory Control13,Permanent13,87,22,5,53,41,72,51,50
164,Francis Strickland13,VP Sales13,Permanent13,96,81,37,41,91,9,75,50
165,Morris Hanson13,Sales Manager13,Permanent13,57,3,42,9,29,55,40,50
166,Todd Tyler13,Sales Executive13,Permanent13,79,3,66,97,47,13,16,50
167,Bennie Wise13,Sales Executive13,Permanent13,78,66,22,71,86,94,47,50
168,Joel Cooper13,Sales Executive13,Permanent13,57,42,58,26,96,95,96,50
169,Erica Rogers14,CEO14,Permanent14,74,34,94,9,45,35,74,50
170,Malcolm Barrett14,Exec. Vice Presiden14,Permanent14,36,85,20,84,16,65,35,50
171,Esther Baker14,Director of Operations14,Permanent14,6,87,41,21,89,23,38,50
172,Brittany Hanson14,Fleet Coordinator14,Permanent14,75,29,19,41,3,63,86,50
173,Leah Flowers14,Parts Technician14,Permanent14,0,19,11,95,47,25,68,50
174,Tammy Sutton14,Service Technician14,Permanent14,20,67,38,39,78,96,79,50
175,Derek Paul14,Inventory Control14,Permanent14,43,43,95,59,15,46,88,50
176,Francis Strickland14,VP Sales14,Permanent14,31,72,17,42,59,19,10,50
177,Morris Hanson14,Sales Manager14,Permanent14,68,64,47,92,67,59,12,50
178,Todd Tyler14,Sales Executive14,Permanent14,58,97,61,76,76,94,41,50
179,Bennie Wise14,Sales Executive14,Permanent14,23,64,22,87,40,46,47,50
180,Joel Cooper14,Sales Executive14,Permanent14,66,73,26,23,36,13,10,50
181,Erica Rogers15,CEO15,Permanent15,72,31,21,83,15,40,39,50
182,Malcolm Barrett15,Exec. Vice Presiden15,Permanent15,41,18,1,77,34,47,43,50
183,Esther Baker15,Director of Operations15,Permanent15,73,29,16,42,46,93,32,50
184,Brittany Hanson15,Fleet Coordinator15,Permanent15,40,74,32,49,44,86,82,50
185,Leah Flowers15,Parts Technician15,Permanent15,21,7,17,55,46,92,24,50
186,Tammy Sutton15,Service Technician15,Permanent15,38,69,36,24,61,85,11,50
187,Derek Paul15,Inventory Control15,Permanent15,39,59,91,40,31,22,88,50
188,Francis Strickland15,VP Sales15,Permanent15,22,92,92,4,46,58,35,50
189,Morris Hanson15,Sales Manager15,Permanent15,83,27,60,32,86,9,5,50
190,Todd Tyler15,Sales Executive15,Permanent15,11,68,59,45,29,3,94,50
191,Bennie Wise15,Sales Executive15,Permanent15,8,30,37,70,55,49,63,50
192,Joel Cooper15,Sales Executive15,Permanent15,12,19,14,76,48,22,25,50
193,Erica Rogers16,CEO16,Permanent16,95,53,45,21,49,56,46,50
194,Malcolm Barrett16,Exec. Vice Presiden16,Permanent16,95,18,20,74,28,37,81,50
195,Esther Baker16,Director of Operations16,Permanent16,16,97,45,83,8,45,54,50
196,Brittany Hanson16,Fleet Coordinator16,Permanent16,47,68,67,46,78,72,16,50
197,Leah Flowers16,Parts Technician16,Permanent16,11,84,24,56,17,72,49,50
198,Tammy Sutton16,Service Technician16,Permanent16,49,75,4,43,84,45,47,50
199,Derek Paul16,Inventory Control16,Permanent16,67,69,3,22,75,2,83,50
200,Francis Strickland16,VP Sales16,Permanent16,3,59,84,6,41,37,62,50
201,Morris Hanson16,Sales Manager16,Permanent16,38,68,94,11,46,70,92,50
202,Todd Tyler16,Sales Executive16,Permanent16,62,58,65,12,91,66,52,50
203,Bennie Wise16,Sales Executive16,Permanent16,29,48,98,7,52,45,27,50
204,Joel Cooper16,Sales Executive16,Permanent16,93,19,81,47,49,76,2,50
205,Erica Rogers17,CEO17,Permanent17,72,28,90,50,51,13,78,50
206,Malcolm Barrett17,Exec. Vice Presiden17,Permanent17,70,99,47,94,6,12,61,50
207,Esther Baker17,Director of Operations17,Permanent17,44,37,85,96,63,93,35,50
208,Brittany Hanson17,Fleet Coordinator17,Permanent17,68,28,52,90,2,7,5,50
209,Leah Flowers17,Parts Technician17,Permanent17,28,13,99,69,54,63,20,50
210,Tammy Sutton17,Service Technician17,Permanent17,61,34,5,2,46,98,43,50
211,Derek Paul17,Inventory Control17,Permanent17,62,36,76,13,39,41,23,50
212,Francis Strickland17,VP Sales17,Permanent17,89,46,19,31,46,42,85,50
213,Morris Hanson17,Sales Manager17,Permanent17,65,19,10,13,75,5,69,50
214,Todd Tyler17,Sales Executive17,Permanent17,8,16,8,54,88,38,43,50
215,Bennie Wise17,Sales Executive17,Permanent17,49,32,58,1,7,38,20,50
216,Joel Cooper17,Sales Executive17,Permanent17,37,94,40,5,25,23,77,50
217,Erica Rogers18,CEO18,Permanent18,19,67,63,78,10,7,24,50
218,Malcolm Barrett18,Exec. Vice Presiden18,Permanent18,99,47,8,36,49,45,7,50
219,Esther Baker18,Director of Operations18,Permanent18,98,16,34,69,16,35,2,50
220,Brittany Hanson18,Fleet Coordinator18,Permanent18,40,62,89,43,60,10,88,50
221,Leah Flowers18,Parts Technician18,Permanent18,56,7,55,74,3,93,88,50
222,Tammy Sutton18,Service Technician18,Permanent18,31,33,15,46,21,17,37,50
223,Derek Paul18,Inventory Control18,Permanent18,10,61,39,39,64,61,32,50
224,Francis Strickland18,VP Sales18,Permanent18,97,83,50,80,40,79,0,50
225,Morris Hanson18,Sales Manager18,Permanent18,95,63,11,72,66,38,65,50
226,Todd Tyler18,Sales Executive18,Permanent18,46,58,64,49,6,51,15,50
227,Bennie Wise18,Sales Executive18,Permanent18,28,56,45,94,11,49,32,50
228,Joel Cooper18,Sales Executive18,Permanent18,56,76,5,83,34,90,14,50
229,Erica Rogers19,CEO19,Permanent19,34,71,91,26,39,46,91,50
230,Malcolm Barrett19,Exec. Vice Presiden19,Permanent19,35,57,79,12,1,64,91,50
231,Esther Baker19,Director of Operations19,Permanent19,59,2,29,53,64,6,92,50
232,Brittany Hanson19,Fleet Coordinator19,Permanent19,92,79,87,87,43,11,87,50
233,Leah Flowers19,Parts Technician19,Permanent19,43,9,7,15,96,29,2,50
234,Tammy Sutton19,Service Technician19,Permanent19,53,56,48,72,38,83,77,50
235,Derek Paul19,Inventory Control19,Permanent19,72,50,69,65,91,70,16,50
236,Francis Strickland19,VP Sales19,Permanent19,19,92,35,61,23,7,42,50
237,Morris Hanson19,Sales Manager19,Permanent19,93,15,56,9,48,92,3,50
238,Todd Tyler19,Sales Executive19,Permanent19,22,0,7,25,63,88,64,50
239,Bennie Wise19,Sales Executive19,Permanent19,28,99,1,27,10,56,89,50
240,Joel Cooper19,Sales Executive19,Permanent19,46,94,19,76,61,36,49,50
241,Erica Rogers20,CEO20,Permanent20,3,85,63,65,44,50,68,50
242,Malcolm Barrett20,Exec. Vice Presiden20,Permanent20,42,17,46,47,84,41,66,50
243,Esther Baker20,Director of Operations20,Permanent20,26,87,83,87,67,59,6,50
244,Brittany Hanson20,Fleet Coordinator20,Permanent20,76,91,61,79,50,18,26,50
245,Leah Flowers20,Parts Technician20,Permanent20,47,52,41,24,53,62,32,50
246,Tammy Sutton20,Service Technician20,Permanent20,29,58,72,87,44,38,42,50
247,Derek Paul20,Inventory Control20,Permanent20,48,54,70,56,30,44,31,50
248,Francis Strickland20,VP Sales20,Permanent20,1,6,29,70,25,29,92,50
249,Morris Hanson20,Sales Manager20,Permanent20,72,65,28,80,91,69,42,50
250,Todd Tyler20,Sales Executive20,Permanent20,59,93,50,69,3,55,53,50
251,Bennie Wise20,Sales Executive20,Permanent20,7,37,33,17,61,16,58,50
252,Joel Cooper20,Sales Executive20,Permanent20,42,98,19,31,63,54,66,50
253,Erica Rogers21,CEO21,Permanent21,16,75,52,71,56,97,94,50
254,Malcolm Barrett21,Exec. Vice Presiden21,Permanent21,22,58,55,98,22,3,6,50
255,Esther Baker21,Director of Operations21,Permanent21,23,35,4,32,72,36,99,50
256,Brittany Hanson21,Fleet Coordinator21,Permanent21,57,52,9,39,80,31,2,50
257,Leah Flowers21,Parts Technician21,Permanent21,90,93,89,45,87,63,44,50
258,Tammy Sutton21,Service Technician21,Permanent21,26,92,14,90,9,44,98,50
259,Derek Paul21,Inventory Control21,Permanent21,94,81,95,71,94,85,78,50
260,Francis Strickland21,VP Sales21,Permanent21,32,5,59,21,90,17,19,50
261,Morris Hanson21,Sales Manager21,Permanent21,69,31,42,87,0,46,53,50
262,Todd Tyler21,Sales Executive21,Permanent21,44,95,43,5,57,5,1,50
263,Bennie Wise21,Sales Executive21,Permanent21,86,99,1,19,59,38,80,50
264,Joel Cooper21,Sales Executive21,Permanent21,7,77,40,97,75,34,63,50
265,Erica Rogers22,CEO22,Permanent22,75,17,49,88,19,92,27,50
266,Malcolm Barrett22,Exec. Vice Presiden22,Permanent22,46,15,90,99,14,2,85,50
267,Esther Baker22,Director of Operations22,Permanent22,23,63,67,61,52,7,42,50
268,Brittany Hanson22,Fleet Coordinator22,Permanent22,51,19,39,5,41,69,83,50
269,Leah Flowers22,Parts Technician22,Permanent22,11,0,41,40,82,20,63,50
270,Tammy Sutton22,Service Technician22,Permanent22,25,91,99,40,34,30,75,50
271,Derek Paul22,Inventory Control22,Permanent22,86,16,29,36,97,86,48,50
272,Francis Strickland22,VP Sales22,Permanent22,54,22,78,12,89,81,79,50
273,Morris Hanson22,Sales Manager22,Permanent22,4,20,11,10,77,11,1,50
274,Todd Tyler22,Sales Executive22,Permanent22,45,56,33,86,26,18,6,50
275,Bennie Wise22,Sales Executive22,Permanent22,35,98,6,4,65,4,7,50
276,Joel Cooper22,Sales Executive22,Permanent22,88,92,46,48,23,90,55,50
277,Erica Rogers23,CEO23,Permanent23,40,43,17,46,95,20,86,50
278,Malcolm Barrett23,Exec. Vice Presiden23,Permanent23,57,5,25,48,30,8,53,50
279,Esther Baker23,Director of Operations23,Permanent23,1,84,15,4,96,69,31,50
280,Brittany Hanson23,Fleet Coordinator23,Permanent23,26,34,22,83,19,68,22,50
281,Leah Flowers23,Parts Technician23,Permanent23,32,28,52,71,42,84,53,50
282,Tammy Sutton23,Service Technician23,Permanent23,82,12,62,68,43,76,3,50
283,Derek Paul23,Inventory Control23,Permanent23,56,60,90,38,22,97,45,50
284,Francis Strickland23,VP Sales23,Permanent23,48,52,15,43,2,80,20,50
285,Morris Hanson23,Sales Manager23,Permanent23,70,62,67,20,49,23,95,50
286,Todd Tyler23,Sales Executive23,Permanent23,49,96,42,97,84,17,71,50
287,Bennie Wise23,Sales Executive23,Permanent23,69,65,63,69,37,19,73,50
288,Joel Cooper23,Sales Executive23,Permanent23,84,32,26,83,33,51,27,50
289,Erica Rogers24,CEO24,Permanent24,99,12,81,58,20,27,88,50
290,Malcolm Barrett24,Exec. Vice Presiden24,Permanent24,61,99,33,67,88,41,67,50
291,Esther Baker24,Director of Operations24,Permanent24,31,45,80,50,11,47,49,50
292,Brittany Hanson24,Fleet Coordinator24,Permanent24,75,56,65,14,18,11,34,50
293,Leah Flowers24,Parts Technician24,Permanent24,56,0,17,90,94,41,32,50
294,Tammy Sutton24,Service Technician24,Permanent24,6,8,86,3,68,12,4,50
295,Derek Paul24,Inventory Control24,Permanent24,53,42,57,88,38,97,87,50
296,Francis Strickland24,VP Sales24,Permanent24,64,1,82,84,75,54,36,50
297,Morris Hanson24,Sales Manager24,Permanent24,65,56,42,96,70,99,8,50
298,Todd Tyler24,Sales Executive24,Permanent24,8,96,73,65,73,76,46,50
299,Bennie Wise24,Sales Executive24,Permanent24,92,18,3,61,19,92,29,50
300,Joel Cooper24,Sales Executive24,Permanent24,27,14,6,68,40,49,95,50
301,Erica Rogers25,CEO25,Permanent25,77,57,74,38,69,92,48,50
302,Malcolm Barrett25,Exec. Vice Presiden25,Permanent25,32,52,49,25,33,3,19,50
303,Esther Baker25,Director of Operations25,Permanent25,93,93,29,32,68,6,63,50
304,Brittany Hanson25,Fleet Coordinator25,Permanent25,1,73,80,42,37,31,86,50
305,Leah Flowers25,Parts Technician25,Permanent25,81,84,43,66,78,91,61,50
306,Tammy Sutton25,Service Technician25,Permanent25,22,28,67,95,41,77,26,50
307,Derek Paul25,Inventory Control25,Permanent25,99,77,53,26,90,49,84,50
308,Francis Strickland25,VP Sales25,Permanent25,62,37,80,71,44,86,5,50
309,Morris Hanson25,Sales Manager25,Permanent25,88,58,86,24,93,91,72,50
310,Todd Tyler25,Sales Executive25,Permanent25,39,76,84,85,9,0,19,50
311,Bennie Wise25,Sales Executive25,Permanent25,98,26,90,48,84,22,59,50
312,Joel Cooper25,Sales Executive25,Permanent25,52,90,68,9,73,96,29,50
313,Erica Rogers26,CEO26,Permanent26,84,37,97,97,94,85,26,50
314,Malcolm Barrett26,Exec. Vice Presiden26,Permanent26,73,72,16,99,62,96,93,50
315,Esther Baker26,Director of Operations26,Permanent26,27,80,39,97,15,54,30,50
316,Brittany Hanson26,Fleet Coordinator26,Permanent26,38,38,76,71,8,38,61,50
317,Leah Flowers26,Parts Technician26,Permanent26,19,16,33,69,33,47,39,50
318,Tammy Sutton26,Service Technician26,Permanent26,82,18,91,24,5,95,42,50
319,Derek Paul26,Inventory Control26,Permanent26,74,83,61,34,45,64,27,50
320,Francis Strickland26,VP Sales26,Permanent26,7,66,88,29,8,62,64,50
321,Morris Hanson26,Sales Manager26,Permanent26,38,7,42,68,67,0,83,50
322,Todd Tyler26,Sales Executive26,Permanent26,16,57,84,94,77,29,46,50
323,Bennie Wise26,Sales Executive26,Permanent26,18,37,0,25,30,54,72,50
324,Joel Cooper26,Sales Executive26,Permanent26,46,74,27,44,71,27,68,50
325,Erica Rogers27,CEO27,Permanent27,5,42,7,99,90,50,80,50
326,Malcolm Barrett27,Exec. Vice Presiden27,Permanent27,10,67,39,56,79,21,64,50
327,Esther Baker27,Director of Operations27,Permanent27,51,81,12,60,56,41,41,50
328,Brittany Hanson27,Fleet Coordinator27,Permanent27,37,23,7,47,49,47,93,50
329,Leah Flowers27,Parts Technician27,Permanent27,82,73,0,62,86,11,85,50
330,Tammy Sutton27,Service Technician27,Permanent27,64,14,60,14,68,90,64,50
331,Derek Paul27,Inventory Control27,Permanent27,4,24,86,69,23,67,65,50
332,Francis Strickland27,VP Sales27,Permanent27,85,88,98,27,76,24,65,50
333,Morris Hanson27,Sales Manager27,Permanent27,31,63,42,36,11,22,86,50
334,Todd Tyler27,Sales Executive27,Permanent27,72,4,11,35,50,42,3,50
335,Bennie Wise27,Sales Executive27,Permanent27,70,19,34,50,5,86,75,50
336,Joel Cooper27,Sales Executive27,Permanent27,65,8,22,99,99,92,66,50
